year,GPP_NT_VUT_REF_sum,NEE_VUT_REF_QC_mean,P_F_sum,P_F_QC_mean,P_ERA_sum,P_F_jfmam_sum,P_F_QC_jfmam_mean,P_ERA_jfmam_sum,TA_F_mean,TA_F_QC_mean,TA_ERA_mean,PPFD_IN_mean,PPFD_IN_QC_mean,SW_IN_F_mean,SW_IN_F_QC_mean,SW_IN_ERA_mean,VPD_F_mean,VPD_F_QC_mean,VPD_ERA_mean,NETRAD_mean,NETRAD_QC_mean,G_F_MDS_mean,G_F_MDS_QC_mean,LE_F_MDS_mean,LE_F_MDS_QC_mean,LE_CORR_mean,H_F_MDS_mean,H_F_MDS_QC_mean,H_CORR_mean,SWC_F_MDS_1_mean,SWC_F_MDS_1_QC_mean,SITE_ID,keep_year,season,PDSI_mean
2001,268.505402,0.693161065,175.37,1,241.782,313.667,1,422.097,9.688597826,1,9.81776087,NA,0,140.2078261,1,151.568587,3.049728261,1,3.529369565,78.99746847,0.999773551,1.558963522,1,21.83357065,0.81567037,42.16897717,18.40441859,0.996150348,30.4009587,NA,NA,BE-Bra,TRUE,Spring,3.376666667
2002,305.37055,0.983695554,115.581,1,175.931,261.971,1,378.748,9.487347826,1,10.30904348,276.9824418,0.997735507,149.016913,0.998188587,154.388587,2.635597826,1,3.682608696,76.42932286,0.999547101,NA,NA,17.54453587,0.994791739,34.42909348,21.72040478,0.997735652,42.22558913,NA,NA,BE-Bra,TRUE,Spring,2.17
2003,11.041012,NA,170.531,0,170.531,264.222,0,264.222,10.73794565,0,10.73794565,NA,0,166.026,0,166.026,4.480652174,0,4.480652174,NA,NA,NA,NA,1.382357174,0,1.988767935,-9.519300326,0,-13.69946522,NA,NA,BE-Bra,FALSE,Spring,-1.05
2004,315.29536,0.813179228,110.82,0.988451043,141.387,302.222,0.939144691,297.639,10.60884783,0.993885804,9.731391304,277.7634717,0.910552536,152.7709022,0.99298013,155.3401957,4.26523913,0.993885804,3.758326087,82.56322726,0.982336957,0.4194,0.993885804,17.74409239,0.887907587,23.98284891,42.96489239,0.99094188,58.20400109,NA,NA,BE-Bra,TRUE,Spring,-2.55
2005,241.635186,0.928668533,187.464,0.663269928,192.401,295.628,0.404111479,300.565,10.67956522,0.665081523,10.16063043,NA,0,145.5710217,0.662817188,154.3522935,3.475043478,0.665081523,3.597217391,NA,NA,1.664038174,0.296422,24.80292054,0.973731815,28.19896196,41.26705978,0.974864054,47.81522065,NA,NA,BE-Bra,TRUE,Spring,-1.503333333
2006,259.142155,0.999773565,150.919,1,227.741,229.218,1,321.655,10.5216087,1,9.27548913,299.2873548,1,144.4031087,1,154.1215326,3.508402174,0.315670304,3.334869565,80.40315104,1,0.523455652,1,19.66162685,0.999773565,26.30409891,40.83781413,1,53.56807391,NA,NA,BE-Bra,TRUE,Spring,0.473333333
2007,409.86438,0.98324288,159.03,0.979166652,174.342,275.136,0.926600417,344.916,11.79646739,0.984827859,11.92311957,357.0202429,0.934782609,167.3158696,0.986412902,170.347913,5.161456522,0.984827859,4.901076087,91.59525705,0.97803442,0.530766739,0.985733598,26.82051087,0.984601424,32.54779457,50.53954783,0.984601424,57.49054239,NA,NA,BE-Bra,TRUE,Spring,-0.706666667
2008,287.83967,0,238.472,0.99954713,242.556,366.657,0.999725895,350.051,10.39436957,1,10.48647826,NA,0,161.2544022,1,160.9203043,4.775380435,1,4.411336957,84.03179718,0.998867754,0.532001957,1,19.59393261,0.998414891,23.34069022,52.99038478,0.999320826,60.25983913,NA,NA,BE-Bra,FALSE,Spring,-0.123333333
2009,388.13923,0.918931272,171.579,0.937273783,174.469,279.322,0.961782702,293.431,10.83923913,0.946105196,10.90357609,NA,0,166.2389022,0.946784435,155.8405109,4.66325,0.946105196,3.894858696,91.15107419,0.935688406,0.872581196,0.946105196,26.31734239,0.934782717,32.00605435,49.36421087,0.935462087,59.32524457,NA,NA,BE-Bra,TRUE,Spring,-1.11
2010,350.54925,0.99954713,140.377,1,139.167,248.867,0.99986204,271.748,9.320195652,0.086956685,9.090391304,NA,0,162.8928913,1,157.7191413,3.735043478,0.086956685,3.749869565,94.24232385,0.999320652,0.355793146,1,22.0347337,1,27.69883152,54.18475652,1,66.34634457,NA,NA,BE-Bra,TRUE,Spring,-1.836666667
2011,530.29817,0.985960109,37.124,1,70.784,155.082,1,193.664,11.77436957,1,11.68444565,NA,0,187.5939783,1,177.465587,5.81525,1,5.49423913,109.429959,1,0.637968359,1,33.09172717,0.99954713,39.00687391,59.28746413,0.999773565,69.79131196,NA,NA,BE-Bra,TRUE,Spring,-1.726666667
2012,470.85939,0.964900337,145.748,1,170.505,270.884,1,277.707,10.33305435,1,10.44395652,NA,0,156.864,0.998188522,155.9755326,3.795445652,1,3.544619565,99.18503763,0.99388587,0.493458772,0.997962087,32.68828587,0.991621576,39.87893152,47.82510761,0.991168837,58.40115,NA,NA,BE-Bra,TRUE,Spring,-2.46
2013,417.60999,0.726449152,161.82,1,195.106,251.556,1,295.323,7.378934783,1,7.676173913,NA,0,145.3797283,1,141.0115435,3.41376087,1,3.221391304,87.9948091,0.999547101,0.079263946,1,24.96129348,0.774682967,29.93520978,45.78469783,0.774456533,54.89881739,NA,NA,BE-Bra,TRUE,Spring,0.203333333
2014,497.62123,0.899003935,71.86,1,139.27,168.195,1,291.389,11.71590217,1,11.37652174,NA,0,161.838337,1,164.219163,5.014619565,1,4.173695652,95.21944067,1,0.390440069,1,28.00536304,0.925724696,36.21187717,44.00563696,0.927536304,56.49389565,NA,NA,BE-Bra,TRUE,Spring,-2.016666667
2015,452.29349,0.991847946,121.652,1,141.55,283.04,1,296.968,9.645804348,1,9.60473913,NA,0,164.4366957,1,162.2075326,4.273891304,1,3.74175,NA,NA,0.157626815,1,28.44380109,0.995923772,36.624275,50.89170978,0.997056011,65.63910543,19.45144565,1,BE-Bra,TRUE,Spring,-1.166666667
2016,413.30668,0.996603478,259.855,1,234.866,456.634,1,435.815,9.675597826,1,9.694695652,NA,0,153.2644457,1,157.8790109,4.296141304,1,3.861956522,NA,NA,0.185965217,1,35.7216837,0.997735652,45.95375,36.13400543,0.998641326,46.5255913,22.78857609,1,BE-Bra,TRUE,Spring,1.233333333
2017,506.75746,0.822237163,151.219,0.999773696,135.314,275.779,0.999862119,242.049,11.17188043,1,11.05231522,NA,0,159.6285978,1,164.5563261,5.075413043,1,4.422945652,NA,NA,0.432580053,1,35.42889565,0.831295413,NA,43.62347717,0.832427391,NA,17.28638043,1,BE-Bra,TRUE,Spring,-3.633333333
2018,378.31226,0.886548924,255.198,1,227.514,375.408,1,362.354,11.33008696,1,11.19833696,NA,0,160.4172065,1,164.3963261,4.91398913,1,4.349967391,NA,NA,0.701019217,1,38.92950761,0.893569065,NA,41.06578587,0.8928895,NA,23.48395652,1,BE-Bra,TRUE,Spring,0.433333333
2019,419.69284,0.986866054,166.466,1,190.035,269.533,1,310.168,10.39952174,1,10.38171739,NA,0,167.1091848,1,160.5370109,4.846956522,1,4.107271739,NA,NA,NA,NA,29.0561913,0.996603348,NA,45.88719674,0.996829652,NA,21.36794565,0,BE-Bra,TRUE,Spring,-4.4
2020,484.67243,0.870470826,NA,NA,NA,NA,NA,NA,11.11230435,0.997056087,NA,394.5834931,0.967391304,192.8155109,0.955389478,NA,6.047097826,0.997056087,NA,NA,NA,NA,NA,36.0054587,0.888586804,NA,60.10745978,0.88813387,NA,11.06463043,1,BE-Bra,TRUE,Spring,-3.293333333
