SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
US-Ses,Sevilleta shrubland,OneFlux,NA,34.3349,-106.7442,1604,OSH,13.722,275.082,Bsk,AmeriFlux,NA,Y,2007,2021,15,NA,NA,NA,all looks good with GPP,9455.488583,0.213261344,330.0766722,1547.756695
US-SRC,Santa Rita Creosote,FLUXNET2015,NA,31.9083,-110.8395,950,OSH,22,330,Bwh,AmeriFlux,NA,Y,2008,2014,7,NA,c(2013),c(2014),NA,19527.70079,0.220645562,379.9766719,1722.113364
US-SRG,Santa Rita Grassland,OneFlux,NA,31.789379,-110.827675,1291,GRA,17,420,Bsk,AmeriFlux,NA,Y,2008,2017,10,NA,NA,NA,all years look good,8549.448698,0.220645562,379.9766719,1722.113364
US-SRM,Santa Rita Mesquite,FLUXNET2015,NA,31.8214,-110.8661,1120,WSA,17.92,380,Bsk,AmeriFlux,NA,Y,2004,2014,11,NA,NA,NA,NA,13544.47613,0.220645562,379.9766719,1722.113364
US-Syv,Sylvania Wilderness Area,FLUXNET2015,NA,46.242,-89.3477,540,MF,3.81,826,Dfb,AmeriFlux,NA,Y,2001,2014,14,"c(2001, 2007:2013)","c(2001, 2007:2011)",2007:2011,NA,7565.460303,1.197430951,814.7400141,680.4066766
US-Ton,Tonzi Ranch,FLUXNET2015,NA,38.43093184,-120.9659907,177,WSA,15.8,559,Csa,AmeriFlux,NA,Y,2001,2014,14,c(2001),NA,NA,NA,27561.12133,0.548290201,783.6766793,1429.310022
US-Tw1,Twitchell Wetland West Pond,OneFlux,NA,38.1074,-121.6469,-5,WET,15.5,421,Csa,AmeriFlux,NA,Y,2011,2017,7,c(2012),NA,NA,spring 2012 is bad gap fill but all other years look good,18238.41343,0.324577311,464.7633411,1431.903356
US-Uaf,"University of Alaska, Fairbanks",OneFlux,NA,64.8663,-147.8555,155,ENF,-2.9,263,Dwc,AmeriFlux,NA,Y,2003,2020,18,c(2014),"c(2014, 2004, 2006)","c(2005, 2014)",GPP fall 2005 has a lot problems and 2014 is flat; otherwise looks mostly good,13862.52898,0.529238465,277.2433378,523.853341
US-UMB,Univ. of Mich. Biological Station,OneFlux,NA,45.5598,-84.7138,234,DBF,5.83,803,Dfb,AmeriFlux,NA,Y,2000,2017,18,NA,NA,NA,all years look good,21335.63674,1.27971279,856.0766833,668.9600119
US-UMd,UMBS Disturbance,OneFlux,NA,45.5625,-84.6975,239,DBF,5.83,803,Dfb,AmeriFlux,NA,Y,2007,2017,11,c(2007),NA,NA,spring 2007 is bad gap fill but other years look good,21244.61006,1.27971279,856.0766833,668.9600119
US-Var,Vaira Ranch- Ione,FLUXNET2015,NA,38.41329154,-120.9507564,129,GRA,15.8,559,Csa,AmeriFlux,NA,Y,2000,2014,15,c(2000),c(2000),c(2000),NA,25225.37791,0.548290201,783.6766793,1429.310022
US-Vcp,Valles Caldera Ponderosa Pine,OneFlux,NA,35.8624,-106.5974,2542,ENF,9.8,550,Dfb,AmeriFlux,NA,Y,2007,2021,15,NA,NA,NA,looks good overall but only up through 2017,18589.86388,0.385082667,517.9066755,1344.923361
US-WCr,Willow Creek,FLUXNET2015,NA,45.8059,-90.0799,520,DBF,4.02,787,Dfb,AmeriFlux,NA,Y,1999,2014,16,2007:2010,2007:2010,2007:2010,NA,14582.67409,1.168062271,830.9166817,711.3633429
US-Whs,Walnut Gulch Lucky Hills Shrub,FLUXNET2015,NA,31.7438,-110.0522,1370,OSH,17.6,320,Bsk,AmeriFlux,NA,Y,2007,2014,8,c(2007),NA,NA,NA,18716.30433,0.189459512,334.4566719,1765.32003
US-Wjs,Willard Juniper Savannah,OneFlux,NA,34.4255,-105.8615,1931,SAV,15.2,361,Bsk,AmeriFlux,NA,Y,2007,2021,15,c(2007),NA,NA,mostly looks good but ends in 2017 too,22037.07639,0.24341489,362.9600059,1491.116692
US-Wkg,Walnut Gulch Kendall Grasslands,FLUXNET2015,NA,31.7365,-109.9419,1531,GRA,15.64,407,Bsk,AmeriFlux,NA,Y,2004,2014,11,c(2004),NA,NA,NA,18208.40868,0.176752289,314.2166732,1777.723359
