SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
CH-Dav,Davos,ICOS-2020,CC-BY-4.0,46.81533,9.85591,1639,ENF,2.8,1062,Dfc,Rubel (shifted),NA,Y,1997,2020,24,c(2011),c(2011),c(2011),Looks like 2011 is all fill but missing label in NEE QC also precip is missing for 2020,10853.746,3.893689008,2101.813368,539.8000107
CH-Fru,Fruebuel,ICOS-2020,NA,47.11583,8.53778,982,GRA,7.2,1651,Cfb,Rubel,NA,Y,2005,2020,16,c(2005),c(2005),"c(2006, 2009)",2005 has issues for spring and summer and couple of missing years in fall and precip is missing for 2020,21904.58202,1.874169809,1252.920019,668.5200098
CH-Lae,Laegern,ICOS-2020,NA,47.47833,8.36439,689,MF,8.3,1100,Cfb,Rubel,NA,Y,2004,2020,17,c(2004),NA,NA,some gaps in spring 2005 otherwise precip missing for 2020 as well,26811.11463,1.846243504,1230.256688,666.3566779
CH-Oe1,Oensingen grassland,FLUXNET2015,NA,47.28583,7.73194,450,GRA,9,1100,Cfb,Rubel,NA,Y,2002,2008,7,c(2008),NA,NA,NA,4210.718967,1.644694133,1165.200022,708.4600101
CZ-BK1,Bily Kriz forest,ICOS-2020,NA,49.50208,18.53688,875,ENF,6.7,1316,Dfb,Rubel,NA,Y,2004,2020,17,NA,NA,NA,few low NEE QC but otherwise OK precip missing for 2020,31553.34926,1.408969443,977.1766846,693.5400119
CZ-Lnz,Lanzhot,ICOS-2020,NA,48.68155,16.946331,150,DBF,9.8,518,Cfb,Rubel,2015-2020,Y,2015,2020,6,NA,NA,NA,precip missing in 2020 but otherwise good,16291.32392,0.658607335,548.7033429,833.1266801
CZ-RAJ,Rajec,ICOS-2020,NA,49.4437236,16.6965125,649,ENF,7.1,681,Cfb,Rubel,"2012-2020, http://www.europe-fluxdata.eu/home/site-details?id=CZ-RAJ",Y,2012,2020,9,NA,NA,NA,precip missing in 2020 but otherwise good,21886.8192,0.725666283,566.980009,781.3233466
CZ-Stn,Stitna,ICOS-2020,NA,49.035975,17.9699,562,DBF,8.7,685,Cfb,Rubel,"2010-2020, http://www.europe-fluxdata.eu/home/site-details?id=CZ-Stn",Y,2010,2020,11,NA,NA,NA,precip missing in 2020 but otherwise good,28674.5804,1.042001053,772.5500136,741.4100121
CZ-wet,Trebon (CZECHWET),ICOS-2020,NA,49.02465,14.77035,426,WET,7.7,604,Dfb,ICOS,2006-2020,Y,2006,2020,15,c(2006),NA,NA,gaps in spring 2006 and precip missing in 2020,25101.51096,0.846968439,655.5733445,774.0233454
DE-Gri,Grillenburg,ICOS-2020,NA,50.95004,13.51259,385,GRA,7.8,901,Cfb,Rubel,NA,Y,2004,2020,17,NA,NA,NA,precip missing in 2020,27794.92529,0.705067769,573.8100118,813.8366796
DE-Hai,Hainich,ICOS-2020,NA,51.07921,10.45217,430,DBF,8.3,720,Cfb,Rubel,NA,Y,2000,2020,21,NA,NA,NA,has precip for 2020,23651.32035,1.013801106,655.4900121,646.5666767
DE-HoH,Hohes Holz,ICOS-2020,NA,52.08656,11.22235,193,DBF,9.1,563,Cfb,ICOS,NA,Y,2015,2020,6,NA,NA,NA,precip missing in 2020,18271.30049,0.787610662,557.5233429,707.866678
DE-Hte,Huetelmoor,ICOS-2018,NA,54.210278,12.176111,1,WET,9.2,645,Cfb,Rubel,http://www.europe-fluxdata.eu/home/site-details?id=DE-Hte,Y,2009,2018,10,"c(2009, 2010, 2014)",c(2009),c(2009),"2009 looks impossible compared to other years, some issues with QC labels?",6524.839023,0.875205255,584.5233428,667.8700106
DE-Hzd,Hetzdorf,ICOS-2020,NA,50.96381,13.48978,395,DBF,7.6,877,Cfb,Rubel,NA,Y,2010,2020,11,"c(2010, 2017)","c(2010, 2017)",NA,precip missing in 2020 and low NEE QC in a couple other years,29129.17275,0.775118842,607.6466769,783.9400152
DE-Lnf,Leinefelde,FLUXNET2015,NA,51.32822,10.3678,451,DBF,6.96,894.6,Cfb,Rubel,NA,Y,2002,2012,11,"c(2002, 2007:2009)",2007:2009,2007:2009,NA,11948.0609,1.013801106,655.4900121,646.5666767
DE-Obe,Oberbärenburg,ICOS-2020,NA,50.78666,13.72129,734,ENF,5.5,996,Cfb,Rubel,NA,Y,2008,2020,13,NA,NA,NA,precip missing in 2020,4549.039401,0.705067769,573.8100118,813.8366796
DE-RuR,Rollesbroich,ICOS-2020,NA,50.62191,6.30413,514.7,GRA,7.7,1033,Cfb,ICOS,NA,Y,2011,2020,10,c(2011),NA,NA,has precip for 2020 and spring 2011 have low NEE QC and very high,14744.65671,1.359535614,957.1266836,704.0100116
DE-RuW,Wustebach,ICOS-2020,NA,50.50493,6.3309627,610,ENF,7.5,1250,Cfb,ICOS,NA,Y,2012,2020,9,NA,NA,NA,has precip for 2020,27842.56968,1.359535614,957.1266836,704.0100116
DE-Tha,Tharandt,ICOS-2020,NA,50.96256,13.56515,385,ENF,8.2,843,Cfb,Rubel,NA,Y,1996,2020,25,c(1996),NA,NA,missing precip in 2020,26962.96214,0.705067769,573.8100118,813.8366796
DK-Sor,Soroe,ICOS-2020,NA,55.48587,11.64464,40,DBF,8.2,660,Cfb,ICOS,NA,Y,1996,2020,25,c(1996),NA,NA,has precip for 2020,27059.46431,0.943154051,590.5433431,626.1366766
ES-Abr,Albuera,ICOS-2020,NA,38.701839,-6.785881,279,WSA,18.3,400,Csa,Rubel,Luo et al. 2018,Y,2015,2020,6,c(2015),c(2015),c(2015),has precip for 2020,6194.13631,0.392040992,530.7333423,1353.77002
ES-Agu,Aguamarga,ICOS-2020,NA,36.940046,-2.033208,202,OSH,18.1,271,Bsh,Rubel,Gilabert et al. 2015,Y,2006,2020,15,"c(2006, 2016, 2020)","c(2014, 2017, 2020)","c(2014, 2015, 2020)",missing gpp in 2020 and various low NEE QC through different seasons and years,28613.28777,0.219701419,273.0866711,1242.990021
