"year","GPP_NT_VUT_REF_sum","NEE_VUT_REF_QC_mean","P_F_sum","P_F_QC_mean","P_ERA_sum","TA_F_mean","TA_F_QC_mean","TA_ERA_mean","PPFD_IN_mean","PPFD_IN_QC_mean","SW_IN_F_mean","SW_IN_F_QC_mean","SW_IN_ERA_mean","VPD_F_mean","VPD_F_QC_mean","VPD_ERA_mean","NETRAD_mean","NETRAD_QC_mean","G_F_MDS_mean","G_F_MDS_QC_mean","LE_F_MDS_mean","LE_F_MDS_QC_mean","LE_CORR_mean","H_F_MDS_mean","H_F_MDS_QC_mean","H_CORR_mean","SWC_F_MDS_1_mean","SWC_F_MDS_1_QC_mean","SITE_ID","keep_year"
2002,309.76783,0.981227164835165,260.992,1,209.258,7.81243956043956,1,7.00117582417582,177.215225966484,0.999542124542418,94.2769010989011,1,89.6172967032967,2.50932967032967,1,2.35302197802198,11.9926579311822,0.990155677655484,3.81638571428571,0.974587714285714,25.2383901098901,0.997481714285714,22.3832527472528,-1.43946186813187,0.99793956043956,-3.12108326373626,45.7411318681319,1,"AT-Neu",TRUE
2003,251.51613,0.926053076923077,201.309,1,146.614,6.33967032967033,1,6.22321978021978,189.454073387055,0.999084249084044,97.2850879120879,0.998626263736264,105.261879120879,2.76836263736264,1,2.70992307692308,15.3011496362934,0.97435897435889,-6.56355098901099,0.980769340659341,18.0321032967033,0.97550378021978,23.6513747252747,0.292988681318681,0.976419340659341,0.488428021978022,35.155032967033,0.999771076923077,"AT-Neu",TRUE
2004,446.16256,0.950778296703297,168.195,1,115.204,7.5442967032967,0.936813142857143,7.52741758241758,202.66192183133,0.929029304029308,95.9613516483517,0.934981758241758,102.743813186813,2.4560989010989,0.936813142857143,3.01242857142857,21.8051676572637,0.928342490842714,-3.44067779120879,0.861263703296703,27.4076846153846,0.987866461538462,27.8583186813187,-0.973657692307692,0.985577164835165,-0.198603186813187,40.6647802197802,0.936584351648352,"AT-Neu",TRUE
2005,409.75386,0.929028923076923,111.793,1,111.329,6.51881318681319,0.922161043956044,7.43786813186813,198.485481351593,0.908424908425165,98.060989010989,0.92261889010989,103.854626373626,2.36545054945055,0.922161043956044,2.81696703296703,19.2860461822002,0.908424908425088,-4.09811351648352,0.922161043956044,25.6211461538462,0.980311263736264,23.701243956044,-0.353956604395604,0.98489032967033,0.144927065934066,37.7864175824176,0.863781835164835,"AT-Neu",TRUE
2006,470.63901,0.957875153846154,110.208,1,94.696,9.2026043956044,1,9.3263956043956,211.685283198319,0.998168498168527,104.649846153846,0.999542087912088,108.147725274725,3.41841758241758,1,3.22543956043956,22.7607842509429,0.99725274725278,-2.48908901098901,1,36.2157384615385,0.997023934065934,32.5717593406593,-3.15299615384615,0.995421076923077,-3.72950692307692,29.8270879120879,1,"AT-Neu",TRUE
2007,512.99055,0.950549681318681,114.805,1,93.543,5.39675824175824,1,5.77675824175824,190.301729068011,0.999313186813297,97.9173626373626,1,100.728065934066,2.00501098901099,1,2.7813956043956,21.5549084737527,0.997023809523813,-3.56380395604396,1,21.4097593406593,0.988782241758242,24.4293175824176,0.861663956043956,0.990613285714286,1.70043164835165,34.0315934065934,0.997023659340659,"AT-Neu",TRUE
2008,592.40726,0.961080472527473,194.429,1,173.457,6.8738021978022,1,7.0008021978022,192.717060371275,1,96.5427472527472,1,100.160604395604,2.26879120879121,1,2.49591208791209,24.2881030340835,1,-4.31873604395604,1,23.3154131868132,0.997939824175824,28.6575527472527,-1.92840813186813,0.996795010989011,-2.46815505494505,30.2565604395604,1,"AT-Neu",TRUE
2009,496.79691,0.966575164835165,151.865,1,141.612,7.53705494505494,1,7.58603296703297,198.042348646264,1,100.714087912088,1,101.858538461538,2.17153846153846,1,2.74898901098901,27.5606924414,1,-3.41720351648352,1,22.2834087912088,0.995879252747253,27.9189362637363,1.61291802197802,0.995878912087912,3.02475846153846,31.798956043956,1,"AT-Neu",TRUE
2010,409.98916,0.944368175824176,92.97,1,201.238,6.29338461538461,1,5.99534065934066,193.61424246,0.999313186813165,99.0889450549451,1,94.2977252747253,1.99547252747253,1,2.40672527472527,25.3587263797912,0.999313186813297,-4.1891232967033,1,20.5075802197802,0.980082098901099,24.7251648351648,0.670010769230769,0.980769,1.09597164835165,34.6759450549451,1,"AT-Neu",TRUE
2011,417.7531,0.939331802197802,169.177,0.984203186813187,138.62,6.98602197802198,1,8.59196703296703,214.489108171967,0.999084249084374,111.213538461538,0.997710505494506,113.472802197802,2.70704395604396,1,3.45412087912088,18.2178430412725,0.977106227105912,-4.32147318681319,0.999771208791209,18.5937285714286,0.987637285714286,26.224278021978,0.282777692307692,0.989239483516483,0.616759230769231,28.2332747252747,0.999771208791209,"AT-Neu",TRUE
2012,477.51531,0.966803956043956,38.776,1,216.715,7.48803296703297,1,8.0077032967033,174.577949648286,0.999313186813165,93.9746263736264,0.99679467032967,94.5429450549451,2.09536263736264,1,2.69340659340659,20.8604423207396,0.999771062271209,-3.1515689010989,0.999771076923077,20.2500417582418,0.995192285714286,29.6045021978022,-2.57350121978022,0.997024,-5.59005553846154,31.0784725274725,1,"AT-Neu",TRUE
1996,NA,0,191.376,0.993131846153846,198.37,10.1159230769231,0.994505384615385,9.96943956043956,NA,0,79.7145494505495,0.996794945054945,75.7562637362637,2.31251648351648,0,2.31251648351648,NA,NA,NA,NA,18.3919,0.994505384615385,21.2064731868132,-5.13518021978022,0.994505384615385,3.1606710989011,NA,NA,"BE-Bra",FALSE
