"SITE_ID","SITE_LON","SITE_LAT","TC_LON","TC_LAT","TC_LON_IND","TC_LAT_IND","PDSI_Spring_1991_mean","PDSI_Summer_1991_mean","PDSI_Fall_1991_mean","PDSI_Spring_1992_mean","PDSI_Summer_1992_mean","PDSI_Fall_1992_mean","PDSI_Spring_1993_mean","PDSI_Summer_1993_mean","PDSI_Fall_1993_mean","PDSI_Spring_1994_mean","PDSI_Summer_1994_mean","PDSI_Fall_1994_mean","PDSI_Spring_1995_mean","PDSI_Summer_1995_mean","PDSI_Fall_1995_mean","PDSI_Spring_1996_mean","PDSI_Summer_1996_mean","PDSI_Fall_1996_mean","PDSI_Spring_1997_mean","PDSI_Summer_1997_mean","PDSI_Fall_1997_mean","PDSI_Spring_1998_mean","PDSI_Summer_1998_mean","PDSI_Fall_1998_mean","PDSI_Spring_1999_mean","PDSI_Summer_1999_mean","PDSI_Fall_1999_mean","PDSI_Spring_2000_mean","PDSI_Summer_2000_mean","PDSI_Fall_2000_mean","PDSI_Spring_2001_mean","PDSI_Summer_2001_mean","PDSI_Fall_2001_mean","PDSI_Spring_2002_mean","PDSI_Summer_2002_mean","PDSI_Fall_2002_mean","PDSI_Spring_2003_mean","PDSI_Summer_2003_mean","PDSI_Fall_2003_mean","PDSI_Spring_2004_mean","PDSI_Summer_2004_mean","PDSI_Fall_2004_mean","PDSI_Spring_2005_mean","PDSI_Summer_2005_mean","PDSI_Fall_2005_mean","PDSI_Spring_2006_mean","PDSI_Summer_2006_mean","PDSI_Fall_2006_mean","PDSI_Spring_2007_mean","PDSI_Summer_2007_mean","PDSI_Fall_2007_mean","PDSI_Spring_2008_mean","PDSI_Summer_2008_mean","PDSI_Fall_2008_mean","PDSI_Spring_2009_mean","PDSI_Summer_2009_mean","PDSI_Fall_2009_mean","PDSI_Spring_2010_mean","PDSI_Summer_2010_mean","PDSI_Fall_2010_mean","PDSI_Spring_2011_mean","PDSI_Summer_2011_mean","PDSI_Fall_2011_mean","PDSI_Spring_2012_mean","PDSI_Summer_2012_mean","PDSI_Fall_2012_mean","PDSI_Spring_2013_mean","PDSI_Summer_2013_mean","PDSI_Fall_2013_mean","PDSI_Spring_2014_mean","PDSI_Summer_2014_mean","PDSI_Fall_2014_mean","PDSI_Spring_2015_mean","PDSI_Summer_2015_mean","PDSI_Fall_2015_mean","PDSI_Spring_2016_mean","PDSI_Summer_2016_mean","PDSI_Fall_2016_mean","PDSI_Spring_2017_mean","PDSI_Summer_2017_mean","PDSI_Fall_2017_mean","PDSI_Spring_2018_mean","PDSI_Summer_2018_mean","PDSI_Fall_2018_mean","PDSI_Spring_2019_mean","PDSI_Summer_2019_mean","PDSI_Fall_2019_mean","PDSI_Spring_2020_mean","PDSI_Summer_2020_mean","PDSI_Fall_2020_mean","PDSI_Spring_2021_mean","PDSI_Summer_2021_mean","PDSI_Fall_2021_mean"
"CH-Cha",8.41044,47.21022,8.39583333333334,47.2291666666667,4522,1027,-1.50333333333333,0.103333333333333,0.103333333333333,-1.11333333333333,-2.19333333333333,-2.19333333333333,-2.10333333333333,0.233333333333333,0.233333333333333,1.53333333333333,-0.59,-0.59,2.83,2.39,2.39,-1.95,-1.73333333333333,-1.73333333333333,-1.93,0.116666666666667,0.116666666666667,-1.56666666666667,-2.81333333333333,-2.81333333333333,2.9,3.61666666666667,3.61666666666667,2.46333333333333,1.46666666666667,1.46666666666667,2.52333333333333,1.99666666666667,1.99666666666667,-0.496666666666667,0.49,0.49,0.19,-4.21333333333333,-4.21333333333333,-2.73333333333333,-2.61666666666667,-2.61666666666667,-1.87,-1.99,-1.99,1.74,-0.636666666666667,-0.636666666666667,-1.42,1.32,1.32,-0.376666666666667,-1.70666666666667,-1.70666666666667,-0.616666666666667,-1.72333333333333,-1.72333333333333,-2.03333333333333,-1.48666666666667,-1.48666666666667,-2.86,-3.33666666666667,-3.33666666666667,-1.96333333333333,-1.29333333333333,-1.29333333333333,2.30333333333333,1.45666666666667,1.45666666666667,-1.31333333333333,0.43,0.43,-0.0333333333333333,-1.85333333333333,-1.85333333333333,-0.466666666666667,2.83333333333333,2.83333333333333,-2.26666666666667,-2.93333333333333,-2.93333333333333,-0.533333333333333,-3.63333333333333,-3.63333333333333,-3.96666666666667,-4.43333333333333,-4.43333333333333,-3.52666666666667,-4.36333333333333,-4.36333333333333,-1.89333333333333,2.10333333333333,2.10333333333333
"CH-Dav",9.85591,46.81533,9.85416666666666,46.8125,4557,1037,-1.80666666666667,-1.06666666666667,-1.06666666666667,0.553333333333333,-2.11333333333333,-2.11333333333333,-1.94666666666667,-1.42,-1.42,1.19,-1.51333333333333,-1.51333333333333,1.54,0.5,0.5,-2.68,-2.32,-2.32,-1.80333333333333,0.303333333333333,0.303333333333333,-1.72333333333333,-2.31,-2.31,2.73333333333333,3.38,3.38,2.81333333333333,2.08333333333333,2.08333333333333,3.57,3.15,3.15,1.12,0.473333333333333,0.473333333333333,-2.40333333333333,-3.77,-3.77,-2.79,-3.02,-3.02,-3.02666666666667,-3.08,-3.08,-1.87333333333333,-2.30666666666667,-2.30666666666667,-2.50666666666667,-1.72666666666667,-1.72666666666667,0.0366666666666666,-0.263333333333333,-0.263333333333333,-0.42,-1.7,-1.7,-2.19,-0.706666666666667,-0.706666666666667,-2.43,-2.53333333333333,-2.53333333333333,-2.05333333333333,-1.93333333333333,-1.93333333333333,0.42,-0.266666666666667,-0.266666666666667,-1.38,0.746666666666667,0.746666666666667,0.213333333333333,-1.43666666666667,-1.43666666666667,-0.5,2.73333333333333,2.73333333333333,-1.6,-2.2,-2.2,-0.433333333333333,-3.2,-3.2,-2.26666666666667,-2.73333333333333,-2.73333333333333,-0.706666666666667,-1.81,-1.81,0.866666666666667,0.35,0.35
"CH-Fru",8.53778,47.11583,8.52083333333334,47.1041666666667,4525,1030,-1.51666666666667,0.0766666666666667,0.0766666666666667,-0.53,-1.63,-1.63,-2.06,0.296666666666667,0.296666666666667,1.58666666666667,0.16,0.16,2.58,2,2,-1.98666666666667,-1.8,-1.8,-2.02,0.293333333333333,0.293333333333333,-1.69,-2.68666666666667,-2.68666666666667,3.06333333333333,3.61666666666667,3.61666666666667,2.44666666666667,1.70333333333333,1.70333333333333,2.81,2.37333333333333,2.37333333333333,0.0566666666666667,0.436666666666667,0.436666666666667,-0.0633333333333333,-3.37,-3.37,-2.28666666666667,-2.27666666666667,-2.27666666666667,-2.06333333333333,-2.16,-2.16,1.42666666666667,-0.443333333333333,-0.443333333333333,-1.5,1.10666666666667,1.10666666666667,-0.36,-1.14,-1.14,-0.47,-1.23333333333333,-1.23333333333333,-1.44333333333333,-0.523333333333333,-0.523333333333333,-2.78,-2.83666666666667,-2.83666666666667,-1.99333333333333,-1.27,-1.27,2.02666666666667,0.5,0.5,-1.36666666666667,0.803333333333333,0.803333333333333,-0.266666666666667,-1.75666666666667,-1.75666666666667,-0.466666666666667,2.46666666666667,2.46666666666667,-2.4,-2.96666666666667,-2.96666666666667,-0.633333333333333,-3.26666666666667,-3.26666666666667,-3.46666666666667,-4,-4,-3.17333333333333,-3.79,-3.79,-1.88333333333333,1.38333333333333,1.38333333333333
"CH-Lae",8.36439,47.47833,8.35416666666666,47.4791666666667,4521,1021,-2.09,-1.48666666666667,-1.48666666666667,-1.48666666666667,-2.67,-2.67,-2.78666666666667,-1.86,-1.86,1.42666666666667,-0.61,-0.61,2.72666666666667,2.50666666666667,2.50666666666667,-2.03333333333333,-1.72666666666667,-1.72666666666667,-1.85333333333333,-1.20333333333333,-1.20333333333333,-1.72333333333333,-3.16333333333333,-3.16333333333333,2.76,3.38,3.38,2.55,1.26666666666667,1.26666666666667,2.05666666666667,1.58,1.58,-0.616666666666667,0.5,0.5,0.143333333333333,-4.62333333333333,-4.62333333333333,-3.05,-3.10333333333333,-3.10333333333333,-2.21333333333333,-2.26333333333333,-2.26333333333333,1.75333333333333,-0.673333333333333,-0.673333333333333,-1.44,1.07,1.07,-0.41,-1.85,-1.85,-0.706666666666667,-1.91666666666667,-1.91666666666667,-2.29666666666667,-1.8,-1.8,-2.92,-3.60333333333333,-3.60333333333333,-2.85333333333333,-2.23,-2.23,2.21,0.61,0.61,-1.62333333333333,-1.67,-1.67,-0.62,-2.04666666666667,-2.04666666666667,-0.566666666666667,2.9,2.9,-2.66666666666667,-3.1,-3.1,-0.633333333333333,-4.2,-4.2,-4.66666666666667,-4.83333333333333,-4.83333333333333,-3.08666666666667,-3.69666666666667,-3.69666666666667,-0.4,2.16666666666667,2.16666666666667
"CH-Oe1",7.73194,47.28583,7.72916666666666,47.2708333333333,4506,1026,-1.86,-1.94333333333333,-1.94333333333333,-1.58333333333333,-2.27,-2.27,-2.39666666666667,-1.46333333333333,-1.46333333333333,1.51,-0.723333333333333,-0.723333333333333,2.90333333333333,2.18666666666667,2.18666666666667,-1.88,-1.32333333333333,-1.32333333333333,-1.84,-1.28666666666667,-1.28666666666667,-1.52333333333333,-2.92666666666667,-2.92666666666667,2.55,3.1,3.1,2.04,1.36666666666667,1.36666666666667,2.90666666666667,2.37666666666667,2.37666666666667,-0.573333333333333,0.926666666666667,0.926666666666667,0.146666666666667,-4.36333333333333,-4.36333333333333,-2.99666666666667,-3.03333333333333,-3.03333333333333,-1.87333333333333,-2.15666666666667,-2.15666666666667,2.08333333333333,1.82333333333333,1.82333333333333,-0.39,2.39,2.39,-0.376666666666667,-1.41,-1.41,-0.95,-2.21666666666667,-2.21666666666667,-2.36666666666667,-2.12,-2.12,-2.79,-3.40666666666667,-3.40666666666667,-2.86333333333333,-2.06,-2.06,2.56,1.7,1.7,-1.51666666666667,-0.613333333333333,-0.613333333333333,-0.103333333333333,-2.00333333333333,-2.00333333333333,-0.5,2.8,2.8,-2.66666666666667,-3.13333333333333,-3.13333333333333,-0.366666666666667,-3.06666666666667,-3.06666666666667,-4.26666666666667,-4.63333333333333,-4.63333333333333,-3.39666666666667,-3.88666666666667,-3.88666666666667,-1.62666666666667,0.716666666666667,0.716666666666667
"CZ-BK1",18.53688,49.50208,18.5208333333333,49.5208333333333,4765,972,-2.59333333333333,-1.79,-1.79,0.5,-3.27,-3.27,-2.58666666666667,-4,-4,-0.553333333333333,-1.64,-1.64,-1.19,-0.57,-0.57,-0.3,0.456666666666667,0.456666666666667,-1.74333333333333,0.563333333333333,0.563333333333333,-0.38,0.0433333333333333,0.0433333333333333,-0.96,1.50333333333333,1.50333333333333,1.27,-0.48,-0.48,1.11666666666667,0.73,0.73,-2.12,-2.05,-2.05,-2.08333333333333,-3.43666666666667,-3.43666666666667,-1.12,-1.78666666666667,-1.78666666666667,-1.02,-0.796666666666667,-0.796666666666667,2.00666666666667,-0.603333333333333,-0.603333333333333,-2.09,-3.70666666666667,-3.70666666666667,-1.56,-2.18,-2.18,0.326666666666667,-1.67,-1.67,2.18666666666667,4.56,4.56,0.12,0.103333333333333,0.103333333333333,-3.68333333333333,-4.64666666666667,-4.64666666666667,-0.0333333333333333,0.703333333333333,0.703333333333333,-2.61333333333333,-0.843333333333333,-0.843333333333333,-0.573333333333333,-3.01,-3.01,-1.13333333333333,0.566666666666667,0.566666666666667,-1.23333333333333,-2.53333333333333,-2.53333333333333,-0.633333333333333,-2.53333333333333,-2.53333333333333,-2.13333333333333,-3.33333333333333,-3.33333333333333,-3.38,-2.39,-2.39,0.0666666666666667,-0.636666666666667,-0.636666666666667
"CZ-Lnz",16.946331,48.68155,16.9375,48.6875,4727,992,-2.77333333333333,-1.20666666666667,-1.20666666666667,-0.326666666666667,-2.33,-2.33,-1.99666666666667,-2.97,-2.97,-0.37,-1.54666666666667,-1.54666666666667,-1.45,0.343333333333333,0.343333333333333,3.22666666666667,3.94333333333333,3.94333333333333,2.18,2.10333333333333,2.10333333333333,-2.55333333333333,-2.54666666666667,-2.54666666666667,1.97333333333333,2.07333333333333,2.07333333333333,-0.623333333333333,-3.01666666666667,-3.01666666666667,-2.53,-3.11,-3.11,-1.79333333333333,-2.3,-2.3,0.176666666666667,-3.83,-3.83,-1.61333333333333,-1.83,-1.83,-1.78,-0.92,-0.92,2.79666666666667,2.73,2.73,-3.74666666666667,-4.52333333333333,-4.52333333333333,0.993333333333333,0.8,0.8,-0.55,0.463333333333333,0.463333333333333,0.863333333333333,4.50666666666667,4.50666666666667,2.79666666666667,1.27666666666667,1.27666666666667,-5.84666666666667,-5.73333333333333,-5.73333333333333,-0.21,1.67666666666667,1.67666666666667,-4.46,-3.64666666666667,-3.64666666666667,1.82666666666667,-3.00666666666667,-3.00666666666667,-1.36666666666667,0.966666666666667,0.966666666666667,0.833333333333333,-1.76666666666667,-1.76666666666667,0.6,-1.6,-1.6,-3.9,-3.6,-3.6,-5.09333333333333,-3.41,-3.41,2.33666666666667,1.63333333333333,1.63333333333333
"CZ-RAJ",16.6965125,49.4437236,16.6875,49.4375,4721,974,-4.25333333333333,-2.94,-2.94,-1.41,-3.77333333333333,-3.77333333333333,-3.06666666666667,-4.21666666666667,-4.21666666666667,-1.47,-2.98666666666667,-2.98666666666667,-3.04666666666667,-1.98666666666667,-1.98666666666667,2.32333333333333,2.59666666666667,2.59666666666667,1.28,0.773333333333333,0.773333333333333,-1.89,-1.50333333333333,-1.50333333333333,1.44333333333333,1.51333333333333,1.51333333333333,-0.71,-2.67666666666667,-2.67666666666667,-1.22333333333333,-1.29,-1.29,-1.61333333333333,-2.36,-2.36,-1.31666666666667,-4.74666666666667,-4.74666666666667,-1.63333333333333,-2.82666666666667,-2.82666666666667,-1.48,-0.816666666666667,-0.816666666666667,2.18,0.596666666666667,0.596666666666667,-3.01,-4.2,-4.2,-1.01,-1.73,-1.73,-1.98333333333333,0.656666666666667,0.656666666666667,0.683333333333333,3.47666666666667,3.47666666666667,1.77,-2.29,-2.29,-6.02333333333333,-6.26,-6.26,-1.29,2.35666666666667,2.35666666666667,-4.90666666666667,-4.44,-4.44,0.22,-3.89666666666667,-3.89666666666667,-3.4,-2.5,-2.5,-1.26666666666667,-2.73333333333333,-2.73333333333333,-1.56666666666667,-3.33333333333333,-3.33333333333333,-5.06666666666667,-5.46666666666667,-5.46666666666667,-4.21,-2.34666666666667,-2.34666666666667,2.71333333333333,2.20333333333333,2.20333333333333
"CZ-Stn",17.9699,49.035975,17.9791666666667,49.0208333333333,4752,984,-2.20666666666667,-1.26333333333333,-1.26333333333333,0.05,-3.02,-3.02,-2.75,-4.03,-4.03,-0.616666666666667,-1.25,-1.25,-0.2,1.28333333333333,1.28333333333333,2.27666666666667,2.48,2.48,-0.0266666666666667,0.41,0.41,-1.77666666666667,-1.43666666666667,-1.43666666666667,0.383333333333333,1.67333333333333,1.67333333333333,-0.326666666666667,-2.72666666666667,-2.72666666666667,-1.67666666666667,-1.76,-1.76,-2.19666666666667,-2.63333333333333,-2.63333333333333,-2.16333333333333,-4.45333333333333,-4.45333333333333,-2.19333333333333,-2.32,-2.32,-1.54,-1.64,-1.64,2.46,1.54666666666667,1.54666666666667,-3.02333333333333,-4.37333333333333,-4.37333333333333,-1.81,-1.82333333333333,-1.82333333333333,-0.606666666666667,-1.26333333333333,-1.26333333333333,1.58666666666667,4.36333333333333,4.36333333333333,0.34,-1.74,-1.74,-5.88,-6.20666666666667,-6.20666666666667,0.01,1.97333333333333,1.97333333333333,-3.26666666666667,-2.6,-2.6,1.13333333333333,-3.44666666666667,-3.44666666666667,-1.7,-0.4,-0.4,-0.366666666666667,-2.23333333333333,-2.23333333333333,0.2,-2.13333333333333,-2.13333333333333,-3.4,-4.03333333333333,-4.03333333333333,-4.04333333333333,-2.41666666666667,-2.41666666666667,1.48666666666667,-0.75,-0.75
"CZ-wet",14.77035,49.02465,14.7708333333333,49.0208333333333,4675,984,-2.33666666666667,-0.836666666666667,-0.836666666666667,-2.02,-3.96,-3.96,-2.58333333333333,-3.42333333333333,-3.42333333333333,0.113333333333333,-2.76,-2.76,-2.12,-1.50666666666667,-1.50666666666667,2.12333333333333,3.53,3.53,2.43,2.13666666666667,2.13666666666667,-2.31,-2.2,-2.2,1.35,-0.236666666666667,-0.236666666666667,-0.796666666666667,-3.2,-3.2,-1.16666666666667,-1.56,-1.56,0.186666666666667,-0.716666666666667,-0.716666666666667,0.343333333333333,-5.13333333333333,-5.13333333333333,-1.99666666666667,-1.75333333333333,-1.75333333333333,-0.583333333333333,0.76,0.76,2.85333333333333,2.48333333333333,2.48333333333333,-2.92333333333333,-3.80333333333333,-3.80333333333333,1.41,0.693333333333333,0.693333333333333,-0.583333333333333,1.76333333333333,1.76333333333333,-0.12,3.35333333333333,3.35333333333333,0.626666666666667,-2.43,-2.43,-4.85666666666667,-4.75333333333333,-4.75333333333333,-0.176666666666667,2.57666666666667,2.57666666666667,-2.85333333333333,-1.87666666666667,-1.87666666666667,1.51666666666667,-2.65333333333333,-2.65333333333333,-1.2,1.3,1.3,1.4,-1.1,-1.1,-0.5,-2.86666666666667,-2.86666666666667,-3.13333333333333,-4.4,-4.4,-5.25,-2.84666666666667,-2.84666666666667,0.256666666666667,1.99666666666667,1.99666666666667
"DE-Gri",13.51259,50.95004,13.5208333333333,50.9375,4645,938,-3.87666666666667,-2.92666666666667,-2.92666666666667,-2.11666666666667,-3.76666666666667,-3.76666666666667,-3.78,-3.06666666666667,-3.06666666666667,2.29333333333333,-0.67,-0.67,1.32666666666667,2.16,2.16,-1.2,0.76,0.76,-1.13333333333333,0.156666666666667,0.156666666666667,-1.45333333333333,-1.17666666666667,-1.17666666666667,2.25,0.52,0.52,0.456666666666667,-2.65666666666667,-2.65666666666667,-1.34333333333333,-1.15333333333333,-1.15333333333333,1.06666666666667,1.03666666666667,1.03666666666667,-0.206666666666667,-4.72333333333333,-4.72333333333333,-4.03666666666667,-2.74,-2.74,-0.483333333333333,0.5,0.5,0.956666666666667,-1.34,-1.34,-2.63333333333333,-1.55333333333333,-1.55333333333333,1.60333333333333,-2.29,-2.29,-0.583333333333333,-0.596666666666667,-0.596666666666667,0.37,0.696666666666667,0.696666666666667,0.163333333333333,-2.50666666666667,-2.50666666666667,-2.19666666666667,-2.37,-2.37,2.04333333333333,3.03,3.03,-3.03666666666667,-2.11,-2.11,-1.60666666666667,-3.35,-3.35,-2.3,-3.13333333333333,-3.13333333333333,-2.9,-1.56666666666667,-1.56666666666667,0.0666666666666667,-4.7,-4.7,-6.36666666666667,-8.13333333333333,-8.13333333333333,-8.02666666666667,-7.83333333333333,-7.83333333333333,-4.19333333333333,-2.65666666666667,-2.65666666666667
"DE-Hai",10.45217,51.07921,10.4375,51.0625,4571,935,-3.59666666666667,-3.56666666666667,-3.56666666666667,-3.30333333333333,-3.04666666666667,-3.04666666666667,-2.10333333333333,-1.68,-1.68,3.25666666666667,2.02333333333333,2.02333333333333,2.51,2.43333333333333,2.43333333333333,-1.91333333333333,-1.43333333333333,-1.43333333333333,-0.163333333333333,-0.333333333333333,-0.333333333333333,-2.54666666666667,-2.08,-2.08,2.69,2.25666666666667,2.25666666666667,0.803333333333333,-1.67666666666667,-1.67666666666667,1.24333333333333,-0.45,-0.45,1.76,2.46666666666667,2.46666666666667,1.95666666666667,-3.55333333333333,-3.55333333333333,-3.32666666666667,-1.51333333333333,-1.51333333333333,-0.0133333333333333,-0.54,-0.54,0.906666666666667,-0.356666666666667,-0.356666666666667,-0.446666666666667,1.64333333333333,1.64333333333333,2.49333333333333,-1.08,-1.08,-1.23666666666667,-1.64666666666667,-1.64666666666667,0.266666666666667,-0.296666666666667,-0.296666666666667,-1.82666666666667,-3.73666666666667,-3.73666666666667,-4.49333333333333,-4.29,-4.29,-0.55,0.306666666666667,0.306666666666667,-3.38,-2.30666666666667,-2.30666666666667,-1.90666666666667,-3.84,-3.84,-2.53333333333333,-2.63333333333333,-2.63333333333333,-3.33333333333333,-2.53333333333333,-2.53333333333333,-1,-4.83333333333333,-4.83333333333333,-6.03333333333333,-6.86666666666667,-6.86666666666667,-4.94333333333333,-5.3,-5.3,-3.31333333333333,0.156666666666667,0.156666666666667
"DE-HoH",11.22235,52.08656,11.2291666666667,52.1041666666667,4590,910,-3.07,-3.16,-3.16,-2.34,-3.65333333333333,-3.65333333333333,-0.993333333333333,0.186666666666667,0.186666666666667,3.56666666666667,2.64333333333333,2.64333333333333,2.50333333333333,2.12666666666667,2.12666666666667,-1.97666666666667,-1.45666666666667,-1.45666666666667,-0.0166666666666667,-0.253333333333333,-0.253333333333333,-2.69666666666667,-2.32666666666667,-2.32666666666667,3.00333333333333,1.89333333333333,1.89333333333333,0.23,-2.01,-2.01,-1.87666666666667,-1.81333333333333,-1.81333333333333,2.23,2.91333333333333,2.91333333333333,2.52,-3.59333333333333,-3.59333333333333,-2.91666666666667,-1.67,-1.67,-0.913333333333333,-0.55,-0.55,0.873333333333333,-0.403333333333333,-0.403333333333333,-1.40333333333333,2.67,2.67,2.91666666666667,-2.51333333333333,-2.51333333333333,-2.34333333333333,-3.05666666666667,-3.05666666666667,1.94333333333333,-0.766666666666667,-0.766666666666667,0.19,-3.47666666666667,-3.47666666666667,-4.88,-4.12,-4.12,-0.436666666666667,1.59666666666667,1.59666666666667,-2.87333333333333,-2.31666666666667,-2.31666666666667,-4.78666666666667,-6.05,-6.05,-3.33333333333333,-3.9,-3.9,-3.66666666666667,-1.66666666666667,-1.66666666666667,0.233333333333333,-5,-5,-7.83333333333333,-8.43333333333333,-8.43333333333333,-6.52666666666667,-6.56666666666667,-6.56666666666667,-3.98,-1.80666666666667,-1.80666666666667
"DE-Hte",12.176111,54.210278,12.1875,54.2291666666667,4613,859,-2.15333333333333,1.87,1.87,-1.26,-4.05333333333333,-4.05333333333333,-3.62333333333333,-2.93333333333333,-2.93333333333333,4.17666666666667,2.3,2.3,2.23666666666667,1.59333333333333,1.59333333333333,-2.63666666666667,-1.98333333333333,-1.98333333333333,-3.17,-1.83,-1.83,-1.80333333333333,1.96333333333333,1.96333333333333,3.32333333333333,2.82333333333333,2.82333333333333,-1.80666666666667,-2.22333333333333,-2.22333333333333,-1.84,-1.18333333333333,-1.18333333333333,2.53666666666667,3.13666666666667,3.13666666666667,1.04333333333333,-2.57333333333333,-2.57333333333333,-3.84,-2.61,-2.61,-1.95333333333333,-2.43333333333333,-2.43333333333333,-2.30666666666667,-2.46333333333333,-2.46333333333333,-1.85333333333333,3.37666666666667,3.37666666666667,1.95666666666667,-2.61666666666667,-2.61666666666667,-3.25666666666667,-3.22666666666667,-3.22666666666667,-1.50333333333333,-1.44666666666667,-1.44666666666667,0.126666666666667,-0.12,-0.12,-1.00333333333333,-2.33333333333333,-2.33333333333333,-1.43666666666667,-0.446666666666667,-0.446666666666667,-2.96666666666667,-2.36333333333333,-2.36333333333333,-2.01666666666667,-2.83666666666667,-2.83666666666667,-2.53333333333333,-3.23333333333333,-3.23333333333333,-3.8,1.23333333333333,1.23333333333333,3.43333333333333,-4.6,-4.6,-7.73333333333333,-7.6,-7.6,-5.23,-5.31666666666667,-5.31666666666667,-5.05333333333333,-3.82666666666667,-3.82666666666667
"DE-Hzd",13.48978,50.96381,13.4791666666667,50.9791666666667,4644,937,-3.76333333333333,-2.91666666666667,-2.91666666666667,-2.16666666666667,-3.85333333333333,-3.85333333333333,-3.73,-3.11,-3.11,2.20666666666667,-0.58,-0.58,1.28333333333333,2.2,2.2,-0.54,0.803333333333333,0.803333333333333,-0.836666666666667,0.16,0.16,-1.69333333333333,-1.47666666666667,-1.47666666666667,2.23666666666667,0.41,0.41,0.41,-2.70666666666667,-2.70666666666667,-1.65666666666667,-1.41,-1.41,1.05,1,1,-0.0366666666666668,-4.68,-4.68,-4.06,-2.78666666666667,-2.78666666666667,-0.526666666666667,0.496666666666667,0.496666666666667,1.40333333333333,-1.33,-1.33,-2.96,-1.84,-1.84,1.52,-2.33,-2.33,-0.61,-1.11,-1.11,0.46,0.706666666666667,0.706666666666667,0.35,-2.52,-2.52,-2.08,-2.30333333333333,-2.30333333333333,2.02333333333333,3.04,3.04,-3.01666666666667,-2.18666666666667,-2.18666666666667,-1.62666666666667,-3.40666666666667,-3.40666666666667,-2.3,-3.2,-3.2,-2.86666666666667,-1.66666666666667,-1.66666666666667,3.70074341541719e-17,-4.73333333333333,-4.73333333333333,-6.4,-8.3,-8.3,-8.67,-8.43,-8.43,-4.60666666666667,-2.89666666666667,-2.89666666666667
"DE-Lnf",10.3678,51.32822,10.3541666666667,51.3125,4569,929,-3.45666666666667,-3.46333333333333,-3.46333333333333,-3.04333333333333,-2.95,-2.95,-1.98666666666667,-1.59666666666667,-1.59666666666667,3.45666666666667,2.19666666666667,2.19666666666667,2.68666666666667,2.40666666666667,2.40666666666667,-2.09333333333333,-1.65,-1.65,-0.14,-0.296666666666667,-0.296666666666667,-2.34333333333333,-1.88333333333333,-1.88333333333333,2.65,2.15333333333333,2.15333333333333,0.793333333333333,-1.76666666666667,-1.76666666666667,0.66,-0.956666666666667,-0.956666666666667,1.80333333333333,2.64666666666667,2.64666666666667,1.91,-3.47,-3.47,-3.14,-1.31666666666667,-1.31666666666667,-0.0633333333333333,-0.65,-0.65,0.866666666666667,-0.37,-0.37,-0.37,1.8,1.8,2.65333333333333,-1.12333333333333,-1.12333333333333,-1.44333333333333,-2,-2,0.26,-0.423333333333333,-0.423333333333333,-1.74666666666667,-3.69,-3.69,-4.4,-4.09666666666667,-4.09666666666667,-0.696666666666667,-0.43,-0.43,-3.16,-2.03,-2.03,-1.82,-3.74666666666667,-3.74666666666667,-2.4,-2.63333333333333,-2.63333333333333,-3.43333333333333,-2.36666666666667,-2.36666666666667,-0.9,-4.96666666666667,-4.96666666666667,-6.4,-7.13333333333333,-7.13333333333333,-4.70333333333333,-5.03666666666667,-5.03666666666667,-3.16,-0.23,-0.23
"DE-Obe",13.72129,50.78666,13.7291666666667,50.7708333333333,4650,942,-4.36666666666667,-3.18333333333333,-3.18333333333333,-1.65333333333333,-3.59666666666667,-3.59666666666667,-4.16333333333333,-3.68333333333333,-3.68333333333333,2.12666666666667,-0.98,-0.98,1.37333333333333,1.99,1.99,-1.69,0.503333333333333,0.503333333333333,-1.11333333333333,0.23,0.23,-1,-0.32,-0.32,2,1.28666666666667,1.28666666666667,0.7,-2.70666666666667,-2.70666666666667,0.463333333333333,0.816666666666667,0.816666666666667,1.07333333333333,1.09333333333333,1.09333333333333,-0.223333333333333,-4.32666666666667,-4.32666666666667,-4.03,-2.83666666666667,-2.83666666666667,-0.29,0.45,0.45,0.776666666666667,-1.27333333333333,-1.27333333333333,-2,-1.41666666666667,-1.41666666666667,1.52333333333333,-2.20666666666667,-2.20666666666667,-0.353333333333333,-0.42,-0.42,0.48,0.883333333333333,0.883333333333333,0.0133333333333333,-2.4,-2.4,-2.1,-2.27,-2.27,1.72333333333333,2.84,2.84,-2.87666666666667,-1.99333333333333,-1.99333333333333,-1.56666666666667,-3.33333333333333,-3.33333333333333,-2.36666666666667,-3.13333333333333,-3.13333333333333,-3,-1.7,-1.7,-0.1,-4.83333333333333,-4.83333333333333,-6.4,-8.16666666666667,-8.16666666666667,-6.43,-6.11,-6.11,-2.42333333333333,-1.69,-1.69
