Site ID,Site Name,IGBP,Climate,Latitude,Longitude,Elevation,WI,Data Source,Duration_Group
ES-LM2,Majadas del Tietar South,WSA,Csa,39.934592,-5.775881,270,0.38,ICOS-2020,All5
FI-Var,Varrio,ENF,Dfc,67.7549,29.61,395,1.87,ICOS-2020,All5
FR-Bil,Bilos,ENF,Cfb,44.493652,-0.956092,39,1.03,ICOS-2020,All5
FR-Hes,Hesse,DBF,Cfb,48.6741,7.06465,310,1.12,ICOS-2020,All5
IT-Cpz,Castelporziano,EBF,Csa,41.70525,12.37611,68,0.71,FLUXNET2015,All5
IT-Lsn,Lison,OSH,Cfa,45.740482,12.750297,1,1.18,ICOS-2020,All5
IT-Ro1,Roccarespampani 1,DBF,Csa,42.40812,11.93001,235,0.37,FLUXNET2015,All5
IT-SR2,San Rossore 2,ENF,Csa,43.73202,10.29091,4,0.83,ICOS-2020,All5
NL-Hor,Horstermeer,GRA,Cfb,52.24035,5.0713,2.2,1.36,FLUXNET2015,All5
RU-Fy2,Fyodorovskoye dry spruce,ENF,Dfb,56.4476,32.9019,276,1.38,ICOS-2020,All5
SE-Htm,Hyltemossa,ENF,Cfb,56.09763,13.41897,115,1.69,ICOS-2020,All5
SE-Nor,Norunda,ENF,Dfb,60.0865,17.479504,45,1.19,ICOS-2020,All5
SE-Ros,Rosinedal-3,ENF,Dfc,64.1725,19.738,157,1.56,ICOS-2020,All5
SE-Svb,Svartberget,ENF,Dfc,64.25611,19.7745,267,1.65,ICOS-2020,All5
US-Blo,Blodgett Forest,ENF,Csa,38.8953,-120.6328,1315,1.24,FLUXNET2015,All5
US-Dk2,Duke Forest-hardwoods,DBF,Cfa,35.9736,-79.1004,168,1.05,OneFlux,All5
US-Dk3,Duke Forest - loblolly pine,ENF,Cfa,35.9782,-79.0942,163,1.05,OneFlux,All5
US-Fmf,Flagstaff - Managed Forest,ENF,Csb,35.1426,-111.7273,2160,0.48,OneFlux,All5
US-Fuf,Flagstaff - Unmanaged Forest,ENF,Csb,35.089,-111.762,2180,0.50,OneFlux,All5
US-Ho1,Howland Forest (main tower),ENF,Dfb,45.2041,-68.7402,60,1.64,OneFlux,All5
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),GRA,Dfa,41.84062,-88.24103,226.5,1.08,FLUXNET2015,All5
US-KFS,Kansas Field Station,GRA,Cfa,39.0561,-95.1907,310,0.91,OneFlux,All5
US-Los,Lost Creek,WET,Dfb,46.0827,-89.9792,480,1.31,FLUXNET2015,All5
US-Me3,Metolius-second young aged pine,ENF,Csb,44.3154,-121.6078,1005,0.55,FLUXNET2015,All5
US-Prr,Poker Flat Research Range Black Spruce Forest,ENF,Dwc,65.12367,-147.48756,210,0.76,OneFlux,All5
US-SRC,Santa Rita Creosote,OSH,Bwh,31.9083,-110.8395,950,0.21,FLUXNET2015,All5
US-Syv,Sylvania Wilderness Area,MF,Dfb,46.242,-89.3477,540,1.29,FLUXNET2015,All5
US-Tw1,Twitchell Wetland West Pond,WET,Csa,38.1074,-121.6469,-5,0.29,OneFlux,All5
US-Whs,Walnut Gulch Lucky Hills Shrub,OSH,Bsk,31.7438,-110.0522,1370,0.20,FLUXNET2015,All5
